id,price,number_of_reviews,availability_365,room_type,neighbourhood,neighbourhood_group,accommodates,bedrooms,bathrooms,host_is_superhost,reviews_per_month,last_review,first_review,calculated_host_listings_count,latitude,longitude,minimum_nights,host_name,host_since,number_of_reviews_ltm,instant_bookable,host_response_rate,host_acceptance_rate,host_response_time
42290795,80.0,90,350,Entire home/apt,Estrela,Lisboa,2,1.0,1.0,False,2.26,2024-09-01,2021-06-07,3,38.70831,-9.15635,3,Ana,2020-02-14,40,False,1.0,1.0,within an hour
42291090,84.0,132,343,Entire home/apt,Estrela,Lisboa,2,1.0,1.0,False,3.31,2024-09-01,2021-06-08,3,38.70831,-9.15635,3,Ana,2020-02-14,47,False,1.0,1.0,within an hour
42297063,81.0,31,333,Entire home/apt,Estrela,Lisboa,2,1.0,1.0,True,0.57,2024-08-20,2020-04-09,1,38.70511,-9.15842,2,Ana,2016-02-25,12,True,1.0,1.0,within an hour
42306728,106.0,67,112,Entire home/apt,Santa Maria Maior,Lisboa,4,1.0,1.0,False,1.4,2024-06-27,2020-10-15,9,38.71482467651367,-9.131475448608398,2,Teresa & Bernardo,2017-04-05,13,True,1.0,1.0,within an hour
42314751,351.0,124,241,Entire home/apt,Campolide,Lisboa,14,5.0,2.0,False,2.24,2024-07-17,2020-02-27,11,38.72511672973633,-9.16224479675293,2,Maria,2015-10-17,26,False,1.0,0.96,within an hour
42321974,165.0,1,259,Entire home/apt,Campo de Ourique,Lisboa,3,2.0,1.0,False,0.05,2023-03-09,2023-03-09,1,38.71534,-9.16385,4,Ricardo,2020-02-16,0,False,1.0,0.2,within a day
42328343,411.0,143,198,Entire home/apt,Misericrdia,Lisboa,10,5.0,3.0,True,2.83,2024-08-30,2020-07-20,14,38.71214,-9.14682,2,Leaseboa,2018-10-23,46,True,1.0,1.0,within an hour
42345439,395.0,18,319,Entire home/apt,Santa Maria Maior,Lisboa,4,2.0,2.0,True,0.5,2023-04-07,2021-10-10,12,38.7104,-9.13535,1,Quatro+1,2020-02-17,0,True,1.0,1.0,within an hour
42348204,137.0,80,337,Entire home/apt,Misericrdia,Lisboa,6,2.0,1.0,False,2.16,2024-08-31,2021-08-30,120,38.70649,-9.14757,2,Altido,2012-02-15,28,True,0.98,0.99,within an hour
42356254,345.0,19,308,Entire home/apt,Santa Maria Maior,Lisboa,7,2.0,2.0,False,0.41,2024-05-18,2020-12-09,13,38.71181,-9.13659,2,Estela,2012-07-17,2,True,1.0,0.99,within an hour
42357141,296.0,9,261,Entire home/apt,Santa Maria Maior,Lisboa,6,2.0,1.0,False,0.31,2024-08-11,2022-04-20,13,38.7136,-9.13665,2,Estela,2012-07-17,2,True,1.0,0.99,within an hour
42357518,395.0,64,309,Entire home/apt,Santa Maria Maior,Lisboa,8,3.0,2.0,False,1.39,2024-08-26,2020-11-30,13,38.71266,-9.13734,2,Estela,2012-07-17,22,True,1.0,0.99,within an hour
42357853,367.0,18,343,Entire home/apt,Santa Maria Maior,Lisboa,8,2.0,2.0,False,0.4,2024-03-10,2021-01-03,13,38.71266,-9.13734,2,Estela,2012-07-17,2,True,1.0,0.99,within an hour
41452249,75.0,10,86,Entire home/apt,Carcavelos e Parede,Cascais,4,1.0,1.0,False,0.34,2022-08-17,2022-04-08,2,38.69601,-9.36601,3,Octávio And Gi,2017-07-07,0,False,1.0,0.99,within an hour
41452806,210.0,40,213,Entire home/apt,Ericeira,Mafra,6,3.0,2.0,True,0.8,2024-08-16,2020-08-12,20,38.97282,-9.41645,5,Ana,2017-04-24,4,True,1.0,0.99,within an hour
41455978,70.0,0,155,Entire home/apt,Carcavelos e Parede,Cascais,4,0.0,1.0,False,0.0,0,0,1,38.68412,-9.33833,5,Susana,2019-10-22,0,False,0.5,0.0,within a day
41470602,36.0,87,239,Private room,Alvalade,Lisboa,1,1.0,1.0,True,2.33,2024-09-02,2021-08-22,1,38.74732,-9.13075,1,José,2018-03-25,20,True,1.0,1.0,within an hour
41845847,60.0,12,233,Private room,Santa Maria Maior,Lisboa,2,1.0,1.0,False,0.22,2023-09-14,2020-03-03,21,38.71492,-9.13363,2,Sergio Raul,2017-08-09,0,True,0.93,1.0,within an hour
41846013,167.0,74,161,Entire home/apt,Estrela,Lisboa,2,1.0,1.0,True,1.35,2024-09-07,2020-03-18,1,38.70663,-9.16213,4,Carol,2015-07-12,17,False,1.0,0.85,within a few hours
41851234,65.0,69,50,Entire home/apt,Penha de Frana,Lisboa,4,1.0,1.0,False,2.04,2024-09-07,2021-12-07,1,38.72818,-9.12883,2,Hugo,2017-03-21,18,True,1.0,1.0,within an hour
41852058,60.0,17,233,Private room,Santa Maria Maior,Lisboa,2,1.0,1.0,False,0.35,2024-08-27,2020-08-31,21,38.71555,-9.13348,2,Sergio Raul,2017-08-09,2,True,0.93,1.0,within an hour
41860402,73.0,190,336,Entire home/apt,Olivais,Lisboa,2,1.0,1.0,True,3.41,2024-09-13,2020-02-16,5,38.76254,-9.12239,1,Paula Cristina,2020-01-26,65,False,1.0,1.0,within an hour
41867634,190.0,189,318,Entire home/apt,Santa Maria Maior,Lisboa,2,1.0,1.0,True,3.37,2024-09-01,2020-02-08,104,38.71285,-9.14258,2,Alexandra Pedro And Team,2013-03-30,41,False,1.0,0.99,within an hour
41868311,144.0,223,76,Entire home/apt,Santa Maria Maior,Lisboa,2,1.0,1.0,True,3.98,2024-09-08,2020-02-07,104,38.71227,-9.14143,2,Alexandra Pedro And Team,2013-03-30,56,False,1.0,0.99,within an hour
41872681,71.0,266,334,Entire home/apt,Olivais,Lisboa,2,1.0,1.0,True,4.77,2024-09-11,2020-02-17,5,38.76254,-9.12239,1,Paula Cristina,2020-01-26,103,False,1.0,1.0,within an hour
41879552,88.0,98,345,Entire home/apt,Misericrdia,Lisboa,2,1.0,1.0,False,1.75,2024-08-23,2020-02-09,11,38.70928,-9.14703,3,Nelson And Family,2013-12-26,30,False,1.0,1.0,within an hour
41896862,110.0,146,346,Entire home/apt,Santa Maria Maior,Lisboa,2,1.0,1.0,False,2.63,2024-08-30,2020-02-25,18,38.71195,-9.12692,1,Francisco António,2017-02-26,44,True,1.0,1.0,within an hour
41900407,247.0,20,82,Entire home/apt,Alcabideche,Cascais,4,2.0,1.0,False,0.45,2024-07-25,2021-01-22,28,38.75131,-9.45634,3,Vasco,2016-12-11,4,False,1.0,1.0,within an hour
41904713,576.0,54,188,Entire home/apt,So Vicente,Lisboa,16,4.0,3.0,False,1.48,2024-07-13,2021-09-20,9,38.71796,-9.13289,2,Rute E Mario,2017-01-17,12,True,1.0,1.0,within an hour
41906899,151.0,50,123,Entire home/apt,Arroios,Lisboa,5,3.0,1.0,False,0.9,2024-09-03,2020-02-24,1,38.72044,-9.14053,2,Aquilino & Joana,2016-10-19,22,True,0.94,1.0,within an hour
41912012,183.0,26,336,Private room,Arroios,Lisboa,2,1.0,1.0,False,0.75,2024-06-11,2021-11-09,17,38.722488,-9.13262,1,Fábio,2016-01-17,3,False,1.0,0.96,within an hour
41921127,161.0,9,250,Entire home/apt,Silveira,Torres Vedras,5,2.0,2.0,False,0.18,2024-08-23,2020-08-28,5,39.13217,-9.38214,3,Rui,2014-11-09,2,True,1.0,1.0,within an hour
41925584,90.0,36,129,Entire home/apt,Misericrdia,Lisboa,3,2.0,1.0,False,0.65,2024-08-30,2020-02-23,1,38.70924,-9.1469,6,Raquel,2012-05-31,11,True,1.0,1.0,within an hour
41929985,89.0,69,133,Entire home/apt,Arroios,Lisboa,2,0.0,1.0,False,1.26,2024-08-29,2020-03-12,7,38.72471,-9.13172,4,Cláudia E José,2016-10-03,7,True,1.0,1.0,within an hour
41930534,33.0,308,296,Entire home/apt,Estrela,Lisboa,3,1.0,0.0,False,5.48,2024-08-24,2020-02-04,10,38.70053,-9.17011,2,Gustavo Gonçalves,2017-07-31,67,True,1.0,1.0,within an hour
41931208,249.0,132,323,Entire home/apt,Santa Maria Maior,Lisboa,10,3.0,1.5,False,2.35,2024-08-18,2020-02-04,32,38.7154,-9.13985,1,Central Hill Apartments,2012-06-19,46,True,1.0,1.0,within an hour
